SampleID URINE_V2_Benzoic_acid URINE_V2_Adenosine URINE_V2_Fumaric_acid URINE_V2_Trigonelline URINE_V2_2_Oxoglutaric_acid URINE_V2_2_Furoylglycine URINE_V2_Myo_Inositol URINE_V2_Allantoin URINE_V2_Arginine URINE_V2_1_Methyladenosine URINE_V2_D_Mannose URINE_V2_D_Glucose URINE_V2_Dimethylamine URINE_V2_Formic_acid URINE_V2_Valine URINE_V2_Methionine URINE_V2_Acetic_acid URINE_V2_1_Methylnicotinamide URINE_V2_Pyruvic_acid URINE_V2_Succinic_acid URINE_V2_Glycine URINE_V2_Acetoacetic_acid URINE_V2_Creatine URINE_V2_D_Galactose URINE_V2_4_Aminobutyric_acid URINE_V2_Inosine URINE_V2_N,N_Dimethylglycine URINE_V2_D_Lactose URINE_V2_Taurine URINE_V2_2_Methylsuccinic_acid URINE_V2_Tartaric_acid URINE_V2_1_Methylhistidine URINE_V2_D_Mannitol URINE_V2_Caffeine URINE_V2_Betaine URINE_V2_Alanine URINE_V2_Imidazole URINE_V2_Guanidinoacetic_acid URINE_V2_Allopurinol_Zyloprim URINE_V2_Sarcosine URINE_V2_Lactic_acid URINE_V2_Oxaloacetic_acid URINE_V2_Acetone URINE_V2_3_Hydroxybutyric_acid URINE_V2_Proline_betaine URINE_V2_D_Mandelic_acid URINE_V2_Trimethylamine URINE_V2_Hippuric_acid URINE_V2_Citric_acid NA
x30MCx2480 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 46 21.920310216799997 7.071067811900001 2 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 46 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 52 10.6066017178 127.2792206136 31.8198051534 4.9497474683 21 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 200 120 NA
x20MCx2346 31 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 62 21.920310216799997 7.071067811900001 5 12.7279220614 5 22.627416998 6.3639610307000005 3.5355339059 150 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 6 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 9 17 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 3 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 220 NA
x10MCx3391 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 51 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 45 21.920310216799997 7.071067811900001 3 12.7279220614 5 22.627416998 6.3639610307000005 3.5355339059 68 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 5 67.8822509939 98.9949493661 33.941125497 5 10.6066017178 127.2792206136 31.8198051534 4.9497474683 23 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 44 1.4142135624 70.7106781187 140 1.4142135624 1.4142135624 120.2081528017 140 NA
x30MCx3128 7.071067811900001 275.7716446628 1.4142135624 59 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 34 21.920310216799997 7.071067811900001 1.4142135624 12.7279220614 6 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 8 13 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 19 3 70.7106781187 17.6776695297 1.4142135624 1.4142135624 430 170 NA
x30MCx2116 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 160 21.920310216799997 22 5 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 84 9.8994949366 200 30.405591591 14.142135623699998 13.4350288425 9 67.8822509939 98.9949493661 33.941125497 35 10.6066017178 127.2792206136 31.8198051534 140 89 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 240 NA
x13MCx2331 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 37 530.3300858899 3.5355339059 4.2426406871 51 81 44 5 12.7279220614 8 22.627416998 6.3639610307000005 7 99 9.8994949366 90 30.405591591 14.142135623699998 13.4350288425 10 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 14 35 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 2 70.7106781187 37 1.4142135624 4 120.2081528017 400 NA
x10MCx2332 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 14 45 21.920310216799997 14 4 12.7279220614 5 22.627416998 6.3639610307000005 3.5355339059 120 9.8994949366 57 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 12 37 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 50 1.4142135624 1.4142135624 120.2081528017 240 NA
x20MCx2465 7.071067811900001 275.7716446628 1.4142135624 45 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 110 31 15 3 12.7279220614 9 22.627416998 6.3639610307000005 3.5355339059 76 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 6 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 12 7.071067811900001 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 32 3 70.7106781187 17.6776695297 1.4142135624 1.4142135624 550 220 NA
x14MCx1583 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
x20MCx2299 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 45 7.071067811900001 1.4142135624 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 51 10.6066017178 127.2792206136 31.8198051534 10 7.071067811900001 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 17 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 100 NA
x10MCx1225 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 33 7.071067811900001 4 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 47 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 9 35 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 24 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 63 NA
x12MCx2291 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 23 2 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 62 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 6 10.6066017178 127.2792206136 31.8198051534 9 22 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 36 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 430 310 NA
x10MCx3300 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 34 7.071067811900001 3 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 4.9497474683 7.071067811900001 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 570 140 NA
x20MCx1703 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 34 21.920310216799997 7.071067811900001 2 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 9 20 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 180 180 NA
x20MCx2617 7.071067811900001 275.7716446628 1.4142135624 36 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 42 21.920310216799997 15 4 12.7279220614 10 22.627416998 6.3639610307000005 3.5355339059 180 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 8 67.8822509939 98.9949493661 33.941125497 6 10.6066017178 127.2792206136 31.8198051534 18 47 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 43 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 310 260 NA
x30MCx3369 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 7.071067811900001 3 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 61 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 50 10.6066017178 127.2792206136 31.8198051534 9 17 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 28 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 280 380 NA
x11MCx1752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
x13MCx2240 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 3100 21.920310216799997 7.071067811900001 3 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 10 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 150 21 21 33.941125497 190 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 140 NA
x10MCx3074 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 43 21.920310216799997 7.071067811900001 1.4142135624 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 42 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 16 10.6066017178 127.2792206136 31.8198051534 7 12 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 73 NA
x30MCx1139 7.071067811900001 275.7716446628 1.4142135624 140 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 38 37 7.071067811900001 1.4142135624 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 24.041630560300003 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 5 10.6066017178 127.2792206136 31.8198051534 4.9497474683 31 33.941125497 400 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 1000 70 NA
x30MCx2954 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 69 21.920310216799997 12 3 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 65 14 35.3553390593 30.405591591 14.142135623699998 13.4350288425 6 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 21 34 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 29 3 70.7106781187 30 1.4142135624 1.4142135624 120.2081528017 62 NA
x20MCx2867 7.071067811900001 275.7716446628 3 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 1300 3.5355339059 24 12000 35 7.071067811900001 11 12.7279220614 14 22.627416998 6.3639610307000005 3.5355339059 86 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 17 67.8822509939 98.9949493661 33.941125497 6 10.6066017178 127.2792206136 600 94 52 33.941125497 760 7.071067811900001 2 34.6482322781 12.0208152802 6 70.7106781187 130 1.4142135624 1.4142135624 120.2081528017 360 NA
x20MCx2969 7.071067811900001 275.7716446628 1.4142135624 71 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 35 21.920310216799997 12 5 12.7279220614 12 22.627416998 6.3639610307000005 3.5355339059 200 19 410 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 23 10.6066017178 127.2792206136 31.8198051534 9 18 33.941125497 110 7.071067811900001 2 34.6482322781 42 3 70.7106781187 52 1.4142135624 1.4142135624 400 240 NA
x20MCx1661 7.071067811900001 275.7716446628 1.4142135624 36 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 50 21.920310216799997 7.071067811900001 2 12.7279220614 5 22.627416998 6.3639610307000005 3.5355339059 83 9.8994949366 100 30.405591591 14.142135623699998 13.4350288425 15 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 17 15 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 28 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 220 310 NA
x10MCx1412 16 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 85 21.920310216799997 14 4 12.7279220614 9 22.627416998 6.3639610307000005 7 210 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 10 67.8822509939 98.9949493661 33.941125497 29 10.6066017178 127.2792206136 31.8198051534 9 36 33.941125497 70.7106781187 7.071067811900001 1.4142135624 51 33 3 70.7106781187 46 1.4142135624 1.4142135624 520 260 NA
x30MCx1116 7.071067811900001 275.7716446628 1.4142135624 110 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 44 13 3 12.7279220614 10 22.627416998 6.3639610307000005 8 94 23 35.3553390593 30.405591591 14.142135623699998 13.4350288425 7 67.8822509939 98.9949493661 33.941125497 83 10.6066017178 127.2792206136 31.8198051534 9 30 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 61 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 940 500 NA
x12MCx2987 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 39 21.920310216799997 18 4 12.7279220614 5 22.627416998 9 3.5355339059 87 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 8 67.8822509939 140 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 17 15 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 31 3 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 210 NA
x10MCx3421 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 35 21.920310216799997 7.071067811900001 4 12.7279220614 8 22.627416998 6.3639610307000005 3.5355339059 48 9.8994949366 130 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 4.9497474683 13 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 34 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 100 NA
x13MCx2129 7.071067811900001 275.7716446628 2 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 7.071067811900001 1.4142135624 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 45 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 7 31 33.941125497 100 24 1.4142135624 150 12.0208152802 1.4142135624 70.7106781187 37 1.4142135624 1.4142135624 120.2081528017 50 NA
x20MCx1511 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 7.071067811900001 3 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 56 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 4.9497474683 23 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 12.0208152802 2 70.7106781187 17.6776695297 1.4142135624 1.4142135624 370 200 NA
x30MCx1217 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 7.071067811900001 3 12.7279220614 10 22.627416998 6.3639610307000005 3.5355339059 38 16 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 4.9497474683 7.071067811900001 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 38 3 70.7106781187 120 1.4142135624 1.4142135624 190 120 NA
x20MCx2175 7.071067811900001 275.7716446628 1.4142135624 110 65.0538238692 53 3111.2698372208 19 530.3300858899 3.5355339059 4.2426406871 69 59 26 3 12.7279220614 8 22.627416998 6.3639610307000005 6 24.041630560300003 14 35.3553390593 30.405591591 14.142135623699998 13.4350288425 11 67.8822509939 98.9949493661 33.941125497 6 10.6066017178 127.2792206136 31.8198051534 29 41 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 17 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 970 190 NA
x30MCx1451 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 62 21.920310216799997 12 4 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 65 9.8994949366 35.3553390593 30.405591591 25 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 4.9497474683 25 33.941125497 70.7106781187 7.071067811900001 1.4142135624 34.6482322781 38 2 70.7106781187 17.6776695297 1.4142135624 1.4142135624 120.2081528017 270 NA
x30MCx2565 7.071067811900001 275.7716446628 1.4142135624 24.7487373415 65.0538238692 27.5771644663 3111.2698372208 12.0208152802 530.3300858899 3.5355339059 4.2426406871 24.041630560300003 21.920310216799997 7.071067811900001 3 12.7279220614 3.5355339059 22.627416998 6.3639610307000005 3.5355339059 41 9.8994949366 35.3553390593 30.405591591 14.142135623699998 13.4350288425 3.5355339059 67.8822509939 98.9949493661 33.941125497 3.5355339059 10.6066017178 127.2792206136 31.8198051534 4.9497474683 11 33.941125497 150 7.071067811900001 1.4142135624 34.6482322781 19 1.4142135624 70.7106781187 17.6776695297 1.4142135624 1.4142135624 180 77 NA
